growth,coefGT,sma_dif,dif_high,dif_low,dif_open,zone_interval,dif_prev_close,dif_bid_ask,zone_size,RSI,MACD,volatility,SP_MA_dif,correlSP,sp_open_dif,sp_dif_high,sp_dif_low,winloss,ask,symbol,alertTime,sellTime,sellPrice
0.54,0.7321,0.31858,0.607976654,0.317150525,-0.459937061,122,0.364431487,0.024324982,0.024360536,24.44939144,-0.026209594,0.035,-0.068637287,0.510783953,-0.458368564,0.511891989,0.04472672,0,41.12,SE    ,12/30/2016 12:42,12/30/2016 15:59,41.09
0.95,0.6355,0.36754,1.792291798,0.21156876,-1.643545109,249,0.667141078,0.148454721,0.04050405,24.63329137,-0.214986398,0.274,-0.073380046,0.379782,-0.614124872,0.669412976,0.004477879,-1,222.62,MLM   ,12/30/2016 14:10,12/30/2016 14:54,221.4101
0.51,1.2908,0.21565,0.533923688,2.236719478,1.480111008,65,0.105834105,0.013024225,0.052185258,39.46793641,-0.069557928,0.089,-0.04097232,-0.675836503,-0.658626674,0.714509699,0.01344086,1,76.79,EXR   ,12/30/2016 14:29,12/30/2016 15:56,77.2
1.15,0.6929,0.55909,1.763036008,0.239628576,-1.297743696,276,0.668052257,0.044843049,0.014965579,23.86836575,-0.092485291,0.095,-0.150068834,0.52112557,-0.856659695,0.915681038,0.015712682,1,66.93,DLPH  ,12/30/2016 14:57,12/30/2016 15:16,67.29
0.5,6.435,0.13599,0.589301904,0.272727273,-0.49616599,12,0.135501355,0.090744102,0.136363636,47.00464143,0.024598576,0.045,0.032751464,-0.407076963,-0.031101435,0.115555556,0.129055227,1,22.06,NI    ,1/3/2017 10:00,1/3/2017 10:51,22.19
0.74,9.0798,0.08135,0.806952204,0.908236768,0.624609619,13,1.715374841,0.062111801,0.217797138,56.629784,0.063133686,0.138,0.090554946,-0.158737929,0.035544497,0.048856318,0.19580793,1,32.22,CF    ,1/3/2017 10:05,1/3/2017 10:09,32.39
0.85,9.5398,-0.92169,0.847457627,6.519558676,6.519558676,14,2.572016461,0.094250707,0.29272899,59.11542388,0.027775306,0.055,0.268505216,0.154455353,0.275469854,0.062031991,0.436117663,-1,10.62,ESV   ,1/3/2017 10:13,1/3/2017 10:15,10.56
0.6,5.0336,0.16558,0.992509363,0.945179584,-0.009362419,19,0.404211318,0.131258204,0.046891119,48.87409041,0.031197401,0.348,0.179453951,-0.05978881,0.213266984,0.124140989,0.37381514,-1,106.8,UHS   ,1/3/2017 10:16,1/3/2017 10:57,106.26
0.57,4.8469,-0.24088,0.57106599,2.315516122,1.13368984,19,0.819495363,0.042319086,0.106022053,53.37581457,0.087463972,0.111,0.098102324,0.589071603,0.204380859,0.133019997,0.364914779,1,47.28,TRIP  ,1/3/2017 10:23,1/3/2017 12:48,47.5214
0.75,4.8046,-0.60279,0.752250586,3.549993615,3.286205579,26,0.409259496,0.037009623,0.173203019,46.52925992,0.090837701,0.203,-0.016333215,0.763772742,0.179944017,0.157445393,0.340438788,-1,81.09,ABC   ,1/3/2017 10:33,1/3/2017 10:41,80.67
